Product code,CPU cores,CPU freq,CPU name,Display height,Display screen,Display witdh,Maker code,Maker name,Memory RAM,Memory ROM,Name ID,OS type,OS version,Study or work,Entertaiment
Nexus7,4,1.2,NVIDIA Tegra 3 Cortex-A9,1920,7.02,1200,as,ASUS,1024,32768,Nexus 7,android,4.3,0,0
Nexus_5,4,2.26,Qualcomm Snapdragon 800 MSM8974,1920,5,1080,l,LG,2048,32768,Nexus 5,android,6,1,1
Nexus_5X,6,1.8,Qualcomm Snapdragon 808 MSM8992,1920,5.2,1080,l,LG,2048,32768,Nexus 5X,android,6,1,1
Nexus_5X_,6,1.8,Qualcomm Snapdragon 808 MSM8992,1920,5.2,1080,l,LG,2048,32768,Nexus 5X,android,6,1,1
Nexus_6,4,2.7,Qualcomm Snapdragon 805 APQ8084,2560,5.96,1440,m,Motorola,3072,65536,Nexus 6,android,6,1,1
Nexus_6P,8,2,Qualcomm Snapdragon 810 MSM8994,2560,5.7,1440,hw,Huawei,3072,65536,Nexus 6P,android,6,1,1
Nexus_7_2012,4,1.2,Qualcomm Snapdragon 400 MSM8926,1280,7,800,as,ASUS,1024,8192,Nexus 7 (2012),android,4.3,0,0
Nexus_7_2013,4,1.51,Krait 300,1920,7.02,1200,as,ASUS,2048,16384,Nexus 7 (2013),android,4.3,1,1
Nexus_9,2,2.3,Nvidia Tegra K1 64 bits,2048,8.9,1536,,HTC,2048,16384,Nexus 9,android,5,1,0
P-02D,2,1,Texas Instruments OMAP4430,960,4,540,p,Panasonic,1024,2048,LUMIX Phone,android,4,0,0
P-02E,4,1.5,Qualcomm Snapdragon S4 Pro APQ8064,1920,5,1080,p,Panasonic,2048,32768,ELUGA X,android,4.1,1,0
P-03E,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1920,4.7,1080,p,Panasonic,2048,32768,ELUGA P,android,4.2,0,0
P-04D,2,1,Texas Instruments OMAP4430,960,4.3,540,p,Panasonic,1024,16384,P-04D,android,4,0,0
P-05D,2,1,Texas Instruments OMAP4430,960,4.3,540,p,Panasonic,1024,16384,Disney Mobile on docomo,android,4,0,0
P-06D,2,1.5,Texas Instruments OMAP4460,1280,4.6,720,p,Panasonic,1024,8192,ELUGA V,android,4,0,0
P-07C,1,1,Texas Instruments OMAP3630,854,4.3,480,p,Panasonic,512,1024,P-07C,android,2.3,0,0
P-07D,2,1.5,Qualcomm Snapdragon MSM8960,1280,5,720,p,Panasonic,1024,8192,ELUGA power,android,4,0,0
P8lite,8,1.2,Hisilicon Kirin620,1280,5,720,hw,Huawei,2048,16384,P8lite,android,5,0,0
P8max,8,2.2,Hisilicon Kirin935,1920,6.8,1080,hw,Huawei,3072,32768,P8max,android,5.1,1,1
PTL21,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.3,720,pt,Pantech,1024,16384,VEGA,android,4.1,0,0
PolaSma,4,1.3,Cortex-A7,960,5,540,po,Polaroid,1024,4096,PolaSma,android,4.2,0,0
S301,4,1.2,Qualcomm Snapdragon 410 MSM8916,960,5,540,k,KYOCERA,1024,8192,S301,android,4.4,0,0
SC-01F,4,2.3,Qualcomm Snapdragon 800 MSM8974,1920,5.7,1080,sc,SAMSUNG,3072,32768,GALAXY Note 3,android,5,1,1
SC-01G,4,2.7,Qualcomm Snapdragon 805 APQ8084,2560,5.6,1600,sc,SAMSUNG,3072,32768,GALAXY Note Edge,android,5,1,1
SC-01H,4,1.2,Qualcomm Snapdragon 410 MSM8916,800,4.5,480,sc,SAMSUNG,2048,16384,Galaxy Active neo ,android,5.1,0,0
SC-02B,1,1,Samsung S5PC110,800,4,480,sc,SAMSUNG,512,16896,GALAXY S,android,2.3,0,0
SC-02C,2,1.2,Samsung S5PC210,800,4.3,480,sc,SAMSUNG,1024,16384,GALAXY S II,android,4,0,0
SC-02E,4,1.6,Samsung Exynos4412,1280,5.5,720,sc,SAMSUNG,2048,32768,GALAXY Note II,android,4.3,1,1
SC-02F,4,2.3,Qualcomm Snapdragon 800 MSM8974,1920,5,1080,sc,SAMSUNG,3072,32768,GALAXY J,android,5,1,1
SC-02G,4,2.5,Qualcomm Snapdragon 801 MSM8974AC,1920,5.1,1080,sc,SAMSUNG,2048,16384,GALAXY S5 ACTIVE,android,5,1,1
SC-03D,2,1.5,Qualcomm Snapdragon APQ8060,800,4.5,480,sc,SAMSUNG,1024,16384,GALAXY S II LTE,android,4,0,0
SC-03E,4,1.6,Samsung Exynos4412,1280,4.8,720,sc,SAMSUNG,2048,32768,GALAXY S III α,android,4.3,0,0
SC-03G,4,2.3,Krait 400,2560,8.4,1600,,Samsung,3072,16384,GALAXY Tab S 8.4,android,4.4.2,1,1
SC-04D,2,1.2,Texas Instruments OMAP4460,1280,4.7,720,sc,SAMSUNG,1024,16384,GALAXY NEXUS,android,4.2,0,0
SC-04E,4,1.9,Qualcomm Snapdragon 600 APQ8064T,1920,5,1080,sc,SAMSUNG,2048,32768,GALAXY S4,android,5,1,1
SC-04F,4,2.5,Qualcomm Snapdragon 801 MSM8974AC,1920,5.1,1080,sc,SAMSUNG,2048,32768,GALAXY S5,android,5,1,1
SC-04G,8,2.1,Exynos7420,2560,5.1,1440,sc,SAMSUNG,3072,65536,Galaxy S6 edge,android,5,1,1
SC-05D,2,1.5,Qualcomm Snapdragon APQ8060,1280,5.3,800,sc,SAMSUNG,1024,16384,GALAXY Note,android,4.1,0,0
SC-05G,8,2.1,Exynos7420,2560,5.1,1440,sc,SAMSUNG,3072,32768,Galaxy S6,android,5,1,1
